No.,Chinese Name,Japanese Name,English Name
928,烟熏鱼片,スモークきりみ,Smoked Fillet,咸味和苦味强烈的食材。带有通过熏制得到的独特风味，与蔬菜类食材特别搭配。
929,炸鱼片,きりみフライ,Fried Fillet,咸味和苦味强烈的食材。若要用来制作三明治，调味时最好加入酸味。
930,水煮蛋片,スライスエッグ,Egg,带有咸味的食材。能以各种调味品尝且营养充足的食材。
931,烘蛋,トルティージャ,Potato Tortilla,咸味强烈的食材。在帕底亚是很有人气的料理。拥有充足的份量。
932,豆腐,トーフ,Tofu,带有甜味的食材。生豆腐。作为三明治馅料的潜力还是未知数。
933,米饭,ライス,Rice,带有甜味的食材。煮熟的米。作为三明治馅料的潜力还是未知数。
934,面条,ヌードル,Noodles,带有咸味的食材。煮熟的面。作为三明治馅料的潜力还是未知数。
935,土豆沙拉,ポテトサラダ,Potato Salad,酸味强烈的食材。以土豆为主的沙拉。与面包的搭配程度不容小觑。
936,芝士片,スライスチーズ,Cheese,带有咸味的食材。切成薄片的芝士。方便使用，适合用作三明治的馅料。
937,香蕉片,バナナスライス,Banana,甜味强烈的食材。甘甜味美，是很多宝可梦都喜爱的经典水果。
938,草莓片,いちごスライス,Strawberry,酸味和甜味强烈的食材。三明治只要夹了它就能变得抢镜，因此是一种十分有人气的食材。
939,苹果片,わぎりリンゴ,Apple,甜味强烈的食材。切成了片，作为三明治馅料用起来十分方便。
940,奇异果片,わぎりキウイ,Kiwi,酸味强烈的食材。带有很强酸味和淡淡的甜味。与油腻的食材很搭配。
941,凤梨片,カットパイン,Pineapple,酸味强烈的食材。能让人大饱眼福和口福的南国果实。被切成了容易吃的形状。
942,小辣椒,ハラペーニョ,Jalapeño,辣味强烈的食材。由于辣味非常之强，所以是喜恶两极化的食材。
943,豆瓣菜,クレソン,Watercress,苦味强烈的食材。以独特口味为特征的蔬菜。是种有点挑人的食材。
944,罗勒,バジル,Basil,苦味强烈的食材。是一种容易使用的香草。十分芳香，与番茄很搭配。
945,樱子果,クラボのみ,Cheri Berry,让宝可梦携带后，可以治愈麻痹。
946,零余果,カゴのみ,Chesto Berry,让宝可梦携带后，可以治愈睡眠。
947,桃桃果,モモンのみ,Pecha Berry,让宝可梦携带后，可以治愈中毒。
948,莓莓果,チーゴのみ,Rawst Berry,让宝可梦携带后，可以治愈灼伤。
949,利木果,ナナシのみ,Aspear Berry,让宝可梦携带后，可以治愈冰冻。
950,苹野果,ヒメリのみ,Leppa Berry,让宝可梦携带后，可以回复１０ＰＰ。
951,橙橙果,オレンのみ,Oran Berry,让宝可梦携带后，可以回复１０ＨＰ。
952,柿仔果,キーのみ,Persim Berry,让宝可梦携带后，可以治愈混乱。
953,木子果,ラムのみ,Lum Berry,让宝可梦携带后，可以治愈所有异常状态。
954,文柚果,オボンのみ,Sitrus Berry,让宝可梦携带后，可以回复少量ＨＰ。
955,勿花果,フィラのみ,Figy Berry,让宝可梦携带后，危机时可以回复ＨＰ。如果讨厌这味道就会混乱。
956,异奇果,ウイのみ,Wiki Berry,让宝可梦携带后，危机时可以回复ＨＰ。如果讨厌这味道就会混乱。
957,芒芒果,マゴのみ,Mago Berry,让宝可梦携带后，危机时可以回复ＨＰ。如果讨厌这味道就会混乱。
958,乐芭果,バンジのみ,Aguav Berry,让宝可梦携带后，危机时可以回复ＨＰ。如果讨厌这味道就会混乱。
959,芭亚果,イアのみ,Iapapa Berry,让宝可梦携带后，危机时可以回复ＨＰ。如果讨厌这味道就会混乱。
960,蔓莓果,ズリのみ,Razz Berry,用于制作宝可方块，制作出来的宝可方块可用来打磨强壮。黄色的果实尝起来是酸的。
961,银色蔓莓果,ぎんのズリのみ,Silver Razz Berry,把这树果交给宝可梦后，宝可梦就会变得容易捕捉。
962,金色蔓莓果,きんのズリのみ,Golden Razz Berry,把这树果交给宝可梦后，宝可梦就会变得十分容易捕捉。
963,墨莓果,ブリーのみ,Bluk Berry,用于制作宝可方块，制作出来的宝可方块可用来打磨美丽。蓝色的果实尝起来是涩的。
964,蕉香果,ナナのみ,Nanab Berry,捕捉宝可梦时，把这树果交给宝可梦就能稍微平复一下对方的情绪。
965,银色蕉香果,ぎんのナナのみ,Silver Nanab Berry,捕捉宝可梦时，把这树果交给宝可梦就能平复对方的情绪。
966,金色蕉香果,きんのナナのみ,Golden Nanab Berry,捕捉宝可梦时，把这树果交给宝可梦就能有效地平复对方的情绪。
967,西梨果,セシナのみ,Wepear Berry,用于制作宝可方块，制作出来的宝可方块可用来打磨聪明。绿色的果实尝起来是苦的。
968,凰梨果,パイルのみ,Pinap Berry,用于制作宝可方块，制作出来的宝可方块可用来打磨强壮。黄色的果实尝起来是酸的。
969,银色凰梨果,ぎんのパイルのみ,Silver Pinap Berry,如果把这树果交给宝可梦，那么接下来捉住该宝可梦时，会更容易获得道具。
970,金色凰梨果,きんのパイルのみ,Golden Pinap Berry,如果把这树果交给宝可梦，那么接下来捉住该宝可梦时，会非常容易获得道具。
971,榴石果,ザロクのみ,Pomeg Berry,如果把它交给宝可梦，宝可梦就会变得非常容易和训练家亲密，但ＨＰ的基础点数会降低。
972,藻根果,ネコブのみ,Kelpsy Berry,如果把它交给宝可梦，宝可梦就会变得非常容易和训练家亲密，但攻击的基础点数会降低。
973,比巴果,タポルのみ,Qualot Berry,如果把它交给宝可梦，宝可梦就会变得非常容易和训练家亲密，但防御的基础点数会降低。
974,哈密果,ロメのみ,Hondew Berry,如果把它交给宝可梦，宝可梦就会变得非常容易和训练家亲密，但特攻的基础点数会降低。
975,萄葡果,ウブのみ,Grepa Berry,如果把它交给宝可梦，宝可梦就会变得非常容易和训练家亲密，但特防的基础点数会降低。
976,茄番果,マトマのみ,Tamato Berry,如果把它交给宝可梦，宝可梦就会变得非常容易和训练家亲密，但速度的基础点数会降低。
977,玉黍果,モコシのみ,Cornn Berry,用于制作宝可方块，制作出来的宝可方块可用来打磨美丽。在其他地区很少见的树果。
978,岳竹果,ゴスのみ,Magost Berry,用于制作宝可方块，制作出来的宝可方块可用来打磨可爱。在其他地区很少见的树果。
979,茸丹果,ラブタのみ,Rabuta Berry,用于制作宝可方块，制作出来的宝可方块可用来打磨聪明。在其他地区很少见的树果。
980,檬柠果,ノメルのみ,Nomel Berry,用于制作宝可方块，制作出来的宝可方块可用来打磨强壮。在其他地区很少见的树果。
981,刺角果,ノワキのみ,Spelon Berry,用于制作宝可方块，制作出来的宝可方块可用来打磨可爱。在其他地区很少见的树果。
982,椰木果,シーヤのみ,Pamtre Berry,用于制作宝可方块，制作出来的宝可方块可用来打磨美丽。在其他地区很少见的树果。
983,瓜西果,カイスのみ,Watmel Berry,用于制作宝可方块，制作出来的宝可方块可用来打磨聪明。在其他地区很少见的树果。
984,金枕果,ドリのみ,Durin Berry,用于制作宝可方块，制作出来的宝可方块可用来打磨聪明。在其他地区很少见的树果。
985,靛莓果,ベリブのみ,Belue Berry,用于制作宝可方块，制作出来的宝可方块可用来打磨美丽。在其他地区很少见的树果。
986,巧可果,オッカのみ,Occa Berry,让宝可梦携带后，在受到效果绝佳的火属性招式攻击时，能令其威力减弱。
987,千香果,イトケのみ,Passho Berry,让宝可梦携带后，在受到效果绝佳的水属性招式攻击时，能令其威力减弱。
988,烛木果,ソクノのみ,Wacan Berry,让宝可梦携带后，在受到效果绝佳的电属性招式攻击时，能令其威力减弱。
989,罗子果,リンドのみ,Rindo Berry,让宝可梦携带后，在受到效果绝佳的草属性招式攻击时，能令其威力减弱。
990,番荔果,ヤチェのみ,Yache Berry,让宝可梦携带后，在受到效果绝佳的冰属性招式攻击时，能令其威力减弱。
991,莲蒲果,ヨプのみ,Chople Berry,让宝可梦携带后，在受到效果绝佳的格斗属性招式攻击时，能令其威力减弱。
992,通通果,ビアーのみ,Kebia Berry,让宝可梦携带后，在受到效果绝佳的毒属性招式攻击时，能令其威力减弱。
993,腰木果,シュカのみ,Shuca Berry,让宝可梦携带后，在受到效果绝佳的地面属性招式攻击时，能令其威力减弱。
994,棱瓜果,バコウのみ,Coba Berry,让宝可梦携带后，在受到效果绝佳的飞行属性招式攻击时，能令其威力减弱。
995,福禄果,ウタンのみ,Payapa Berry,让宝可梦携带后，在受到效果绝佳的超能力属性招式攻击时，能令其威力减弱。
996,扁樱果,タンガのみ,Tanga Berry,让宝可梦携带后，在受到效果绝佳的虫属性招式攻击时，能令其威力减弱。
997,草蚕果,ヨロギのみ,Charti Berry,让宝可梦携带后，在受到效果绝佳的岩石属性招式攻击时，能令其威力减弱。
998,佛柑果,カシブのみ,Kasib Berry,让宝可梦携带后，在受到效果绝佳的幽灵属性招式攻击时，能令其威力减弱。
999,莓榴果,ハバンのみ,Haban Berry,让宝可梦携带后，在受到效果绝佳的龙属性招式攻击时，能令其威力减弱。
1000,刺耳果,ナモのみ,Colbur Berry,让宝可梦携带后，在受到效果绝佳的恶属性招式攻击时，能令其威力减弱。
1001,霹霹果,リリバのみ,Babiri Berry,让宝可梦携带后，在受到效果绝佳的钢属性招式攻击时，能令其威力减弱。
1002,灯浆果,ホズのみ,Chilan Berry,让宝可梦携带后，在受到一般属性招式攻击时，能令其威力减弱。
1003,枝荔果,チイラのみ,Liechi Berry,让宝可梦携带后，危机时，自己的攻击就会提高。
1004,龙睛果,リュガのみ,Ganlon Berry,让宝可梦携带后，危机时，自己的防御就会提高。
1005,沙鳞果,カムラのみ,Salac Berry,让宝可梦携带后，危机时，自己的速度就会提高。
1006,龙火果,ヤタピのみ,Petaya Berry,让宝可梦携带后，危机时，自己的特攻就会提高。
1007,杏仔果,ズアのみ,Apicot Berry,让宝可梦携带后，危机时，自己的特防就会提高。
1008,兰萨果,サンのみ,Lansat Berry,让宝可梦携带后，危机时，攻击会变得容易击中要害。
1009,星桃果,スターのみ,Starf Berry,让宝可梦携带后，危机时，某一项能力就会大幅提高。
1010,谜芝果,ナゾのみ,Enigma Berry,让宝可梦携带后，在受到效果绝佳的招式攻击时，可以回复ＨＰ。
1011,瓜南果,カチャのみ,Pumkin Berry,用于制作宝可方块，种在松软的土里会长出神秘的果实。
1012,无青果,ブーカのみ,Drash Berry,-
1013,子茄果,ビスナのみ,Eggant Berry,-
1014,宛豆果,エドマのみ,Strib Berry,-
1015,灯浆果,ホズのみ,Chilan Berry,-
1016,泥豆果,ラッカのみ,Nutpea Berry,-
1017,葱首果,ギネマのみ,''Ginema Berry'',-
1018,角豆果,クオのみ,''Kuo Berry'',-
1019,菩达果,ヤゴのみ,''Yago Berry'',-
1020,辛子果,トウガのみ,''Touga Berry'',-
1021,蒜蒜果,ニニクのみ,''Niniku Berry'',-
1022,薯薯果,トポのみ,''Topo Berry'',-
1023,奇秘果,ミクルのみ,Micle Berry,让宝可梦携带后，危机时，招式的命中率仅会提高１次。
1024,释陀果,イバンのみ,Custap Berry,让宝可梦携带后，危机时，行动仅会变快１次。
1025,嘉珍果,ジャポのみ,Jaboca Berry,让宝可梦携带后，在受到物理招式攻击时，能给予对手伤害。
1026,雾莲果,レンブのみ,Rowap Berry,让宝可梦携带后，在受到特殊招式攻击时，能给予对手伤害。
1027,洛玫果,ロゼルのみ,Roseli Berry,让宝可梦携带后，在受到效果绝佳的妖精属性招式攻击时，能令其威力减弱。
1028,亚开果,アッキのみ,Kee Berry,让宝可梦携带后，在受到物理招式攻击时，自己的防御就会提高。
1029,香罗果,タラプのみ,Maranga Berry,让宝可梦携带后，在受到特殊招式攻击时，自己的特防就会提高。
1030,花啤果,ポフのみ,Hopo Berry,让宝可梦吃下后，可以回复ＰＰ。野生的宝可梦吃下后，对周围的反应会变得迟钝。
1031,孵蛋碰碰,タマゴふかポン,Roto Hatch,洛托姆之力的一种，使用后，蛋就会变得非常容易孵化。
1032,优惠碰碰,やすうりポン,Roto Bargain,洛托姆之力的一种，使用后，友好商店的商品就会变成半价。
1033,零花钱碰碰,おこづかいポン,Roto Prize Money,洛托姆之力的一种，对战后能得到的零花钱会变成３倍。
1034,经验碰碰,けいけんポン,Roto Exp. Points,洛托姆之力的一种，对战后能得到的经验值会稍微增加。
1035,亲密碰碰,なつきポン,Roto Friendship,洛托姆之力的一种，带在身边的宝可梦会变得非常容易亲近。
1036,相遇碰碰,みっけポン,Roto Encounter,洛托姆之力的一种，一定时间内，会变得容易遇到高等级的野生宝可梦。
1037,隐身碰碰,かくれポン,Roto Stealth,洛托姆之力的一种，一定时间内，会变得完全不会遇到野生宝可梦。
1038,ＨＰ回复碰碰,ＨＰかいふくポン,Roto HP Restore,洛托姆之力的一种，正在战斗的我方宝可梦的ＨＰ会全部回复。
1039,ＰＰ回复碰碰,ＰＰかいふくポン,Roto PP Restore,洛托姆之力的一种，正在战斗的我方宝可梦的ＰＰ会全部回复。
1040,加油碰碰,おうえんポン,Roto Boost,洛托姆之力的一种，正在战斗的我方宝可梦的所有能力都会提高。
1041,捕捉碰碰,つかまえポン,Roto Catch,洛托姆之力的一种，使用后，眼前的野生宝可梦会变得非常容易捕捉。
